USUARIO;Conexión;Desconexión;Horas conexión;Servicio
u578398;1/9/2025 08:05;1/9/2025 14:02;05:57:01;RETENCION CABLE
u936818;1/9/2025 09:01;1/9/2025 14:08;05:06:50;RETENCION CABLE
u936818;1/9/2025 20:30;1/9/2025 21:30;00:59:54;RETENCION CABLE
u405401;1/9/2025 15:52;1/9/2025 15:52;00:00:12;RETENCION CABLE
u405401;1/9/2025 15:59;1/9/2025 15:59;00:00:06;RETENCION CABLE
u405401;1/9/2025 16:00;1/9/2025 18:16;02:16:55;RETENCION CABLE
u405401;1/9/2025 18:17;1/9/2025 20:40;02:22:50;RETENCION CABLE
u405401;1/9/2025 20:41;1/9/2025 20:54;00:13:28;RETENCION CABLE
u405401;1/9/2025 20:55;1/9/2025 22:00;01:04:34;RETENCION CABLE
u403586;1/9/2025 15:01;1/9/2025 21:00;05:58:32;RETENCION CABLE
u932906;1/9/2025 09:00;1/9/2025 13:34;04:33:55;RETENCION CABLE
u932906;1/9/2025 13:38;1/9/2025 15:05;01:26:50;RETENCION CABLE
u561875;1/9/2025 08:29;1/9/2025 14:30;06:00:58;RETENCION CABLE
u925305;1/9/2025 08:02;1/9/2025 14:01;05:59:18;RETENCION CABLE
u925305;1/9/2025 16:01;1/9/2025 16:13;00:12:28;RETENCION CABLE
u925305;1/9/2025 20:41;1/9/2025 21:27;00:46:26;RETENCION CABLE
u401134;1/9/2025 14:59;1/9/2025 21:02;06:03:56;RETENCION CABLE
u939746;1/9/2025 08:00;1/9/2025 14:00;05:59:57;RETENCION CABLE
u401139;1/9/2025 15:00;1/9/2025 15:00;00:00:01;RETENCION CABLE
u401139;1/9/2025 15:00;1/9/2025 21:01;06:00:29;RETENCION CABLE
u401143;1/9/2025 15:25;1/9/2025 15:25;00:00:02;RETENCION CABLE
u401143;1/9/2025 16:00;1/9/2025 22:00;06:00:19;RETENCION CABLE
u939690;1/9/2025 15:59;1/9/2025 19:27;03:27:09;RETENCION CABLE
u939690;1/9/2025 19:33;1/9/2025 22:04;02:31:23;RETENCION CABLE
u929678;1/9/2025 08:30;1/9/2025 09:30;00:59:50;RETENCION CABLE
u614946;1/9/2025 08:05;1/9/2025 13:44;05:39:49;RETENCION CABLE
u614946;1/9/2025 13:44;1/9/2025 14:04;00:19:33;RETENCION CABLE
u626769;1/9/2025 08:34;1/9/2025 14:44;06:09:52;RETENCION CABLE
